Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0002293,0.011892,-0.009708,0,0,0,16.726,0.21656,-0.001263,-0.000286,0.50598,-0.000295,0.64318,0,0,0,0,0,0,package://dolanga1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dolanga1/meshes/base_link.STL,,Trunk-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_hip_link,-0.012381,0.0015851,-1.8132E-06,0,0,0,1.4744,0.001354,-3.3E-05,-2E-06,0.002287,-4E-06,0.002177,0,0,0,0,0,0,package://dolanga1/meshes/LF_hip_link.STL,0.68627,0.60784,0.52941,1,0,0,0,0,0,0,package://dolanga1/meshes/LF_hip_link.STL,,Hip-1,LF_hip,LF_hip_joint,LF_hip_joint,revolute,0.298,0.0875,0,0,0,0,base_link,1,0,0,96,23,-0.87,0.87,,,,,,,,
LF_thigh_link,-0.008151,-0.035895,-0.045087,0,0,0,2.8226,0.028969,-0.000644,0.002168,0.027026,-0.004637,0.006705,0,0,0,0,0,0,package://dolanga1/meshes/LF_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://dolanga1/meshes/LF_thigh_link.STL,,L_Thigh-1,LF_thigh,LF_thigh_joint,LF_thigh_joint,revolute,0,0.131,0,0,0,0,LF_hip_link,0,1,0,156,23,-0.94,4.69,,,,,,,,
LF_calf_link,0.013306,-0.00011048,-0.18849,0,0,0,0.85029,0.014443,1E-06,-0.000163,0.014721,-1.9E-05,0.000487,0,0,0,0,0,0,package://dolanga1/meshes/LF_calf_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://dolanga1/meshes/LF_calf_link.STL,,Calf-1;Foot-1,LF_calf,LF_calf_joint,LF_calf_joint,revolute,0,0,-0.32,0,0,0,LF_thigh_link,0,1,0,156,14,-2.82,-0.43,,,,,,,,
LF_foot_link,-0.007615,-3.1122E-07,-0.0082552,0,0,0,0.11851,4E-05,-1.9367E-11,-9E-06,4.9E-05,-2.9471E-10,4.1E-05,0,0,0,0,0,0,package://dolanga1/meshes/LF_foot_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://dolanga1/meshes/LF_foot_link.STL,,Foot-1,LF_foot,LF_foot_joint,LF_foot_joint,fixed,0,0,-0.31,0,0,0,LF_calf_link,0,0,0,,,,,,,,,,,,
RF_hip_link,-0.012381,-0.0015851,1.7356E-06,0,0,0,1.4744,0.001354,3.3E-05,2E-06,0.002287,-4E-06,0.002177,0,0,0,0,0,0,package://dolanga1/meshes/RF_hip_link.STL,0.68627,0.60784,0.52941,1,0,0,0,0,0,0,package://dolanga1/meshes/RF_hip_link.STL,,Hip-2,RF_hip,RF_hip_joint,RF_hip_joint,revolute,0.298,-0.0875,0,0,0,0,base_link,1,0,0,96,23,-0.87,0.87,,,,,,,,
RF_thigh_link,-0.0081543,0.035895,-0.045163,0,0,0,2.8226,0.028948,0.000644,0.002172,0.027005,0.004636,0.006705,0,0,0,0,0,0,package://dolanga1/meshes/RF_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://dolanga1/meshes/RF_thigh_link.STL,,R_Thigh-1,RF_thigh,RF_thigh_joint,RF_thigh_joint,revolute,0,-0.131,0,0,0,0,RF_hip_link,0,1,0,156,23,-0.94,4.69,,,,,,,,
RF_calf_link,0.013306,-0.00011048,-0.18849,0,0,0,0.85029,0.014443,1E-06,-0.000163,0.014721,-1.9E-05,0.000487,0,0,0,0,0,0,package://dolanga1/meshes/RF_calf_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://dolanga1/meshes/RF_calf_link.STL,,Calf-2;Foot-2,RF_calf,RF_calf_joint,RF_calf_joint,revolute,0,0,-0.32,0,0,0,RF_thigh_link,0,1,0,156,14,-2.82,-0.43,,,,,,,,
RF_foot_link,-0.007615,-3.1122E-07,-0.0082552,0,0,0,0.11851,4E-05,-1.9367E-11,-9E-06,4.9E-05,-2.9471E-10,4.1E-05,0,0,0,0,0,0,package://dolanga1/meshes/RF_foot_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://dolanga1/meshes/RF_foot_link.STL,,Foot-2,RF_foot,RF_foot_joint,RF_foot_joint,fixed,0,0,-0.31,0,0,0,RF_calf_link,0,0,0,,,,,,,,,,,,
LH_hip_link,0.012381,0.0015851,1.7821E-06,0,0,0,1.4744,0.001354,3.3E-05,-2E-06,0.002287,4E-06,0.002177,0,0,0,0,0,0,package://dolanga1/meshes/LH_hip_link.STL,0.68627,0.60784,0.52941,1,0,0,0,0,0,0,package://dolanga1/meshes/LH_hip_link.STL,,Hip-3,LH_hip,LH_hip_joint,LH_hip_joint,revolute,-0.298,0.0875,0,0,0,0,base_link,1,0,0,96,23,-0.87,0.87,,,,,,,,
LH_thigh_link,-0.008151,-0.035895,-0.045087,0,0,0,2.8226,0.028969,-0.000644,0.002168,0.027026,-0.004637,0.006705,0,0,0,0,0,0,package://dolanga1/meshes/LH_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://dolanga1/meshes/LH_thigh_link.STL,,L_Thigh-2,LH_thigh,LH_thigh_joint,LH_thigh_joint,revolute,0,0.131,0,0,0,0,LH_hip_link,0,1,0,156,23,-0.94,4.69,,,,,,,,
LH_calf_link,0.013306,-0.00011048,-0.18849,0,0,0,0.85029,0.014443,1E-06,-0.000163,0.014721,-1.9E-05,0.000487,0,0,0,0,0,0,package://dolanga1/meshes/LH_calf_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://dolanga1/meshes/LH_calf_link.STL,,Calf-3;Foot-3,LH_calf,LH_calf_joint,LH_calf_joint,revolute,0,0,-0.32,0,0,0,LH_thigh_link,0,1,0,156,14,-2.82,-0.43,,,,,,,,
LH_foot_link,-0.007615,-3.1122E-07,-0.0082552,0,0,0,0.11851,4E-05,-1.9367E-11,-9E-06,4.9E-05,-2.9471E-10,4.1E-05,0,0,0,0,0,0,package://dolanga1/meshes/LH_foot_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://dolanga1/meshes/LH_foot_link.STL,,Foot-3,LH_foot,LH_foot_joint,LH_foot_joint,fixed,0,0,-0.31,0,0,0,LH_calf_link,0,0,0,,,,,,,,,,,,
RH_hip_link,0.012381,-0.0015851,-1.8132E-06,0,0,0,1.4744,0.001354,-3.3E-05,2E-06,0.002287,4E-06,0.002177,0,0,0,0,0,0,package://dolanga1/meshes/RH_hip_link.STL,0.68627,0.60784,0.52941,1,0,0,0,0,0,0,package://dolanga1/meshes/RH_hip_link.STL,,Hip-4,RH_hip,RH_hip_joint,RH_hip_joint,revolute,-0.298,-0.0875,0,0,0,0,base_link,1,0,0,96,23,-0.87,0.87,,,,,,,,
RH_thigh_link,-0.0081543,0.035895,-0.045163,0,0,0,2.8226,0.028948,0.000644,0.002172,0.027005,0.004636,0.006705,0,0,0,0,0,0,package://dolanga1/meshes/RH_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://dolanga1/meshes/RH_thigh_link.STL,,R_Thigh-2,RH_thigh,RH_thigh_joint,RH_thigh_joint,revolute,0,-0.131,0,0,0,0,RH_hip_link,0,1,0,156,23,-0.94,4.69,,,,,,,,
RH_calf_link,0.013288,-0.0001104,-0.18848,0,0,0,0.85029,0.014439,1E-06,-0.000162,0.014718,-1.9E-05,0.000488,0,0,0,0,0,0,package://dolanga1/meshes/RH_calf_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://dolanga1/meshes/RH_calf_link.STL,,Calf-4;Foot-4,RH_calf,RH_calf_joint,RH_calf_joint,revolute,0,0,-0.32,0,0,0,RH_thigh_link,0,1,0,156,14,-2.82,-0.43,,,,,,,,
RH_foot_link,-0.0077457,3.0719E-07,-0.0081327,0,0,0,0.11851,4E-05,2.9154E-10,-9E-06,4.9E-05,3.4437E-11,4E-05,0,0,0,0,0,0,package://dolanga1/meshes/RH_foot_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://dolanga1/meshes/RH_foot_link.STL,,Foot-4,RH_foot,RH_foot_joint,RH_foot_joint,fixed,0,0,-0.31,0,0,0,RH_calf_link,0,0,0,,,,,,,,,,,,
